date,lower_95,lower_90,lower_80,lower_50,median,predicted,upper_50,upper_80,upper_90,upper_95
2021-01-03,5.798905372619629,6.60329532623291,7.530704498291016,9.080365300178528,10.80215072631836,10.80215072631836,12.523936152458191,14.073596954345703,15.001006126403809,15.80539608001709
2021-01-10,4.776543617248535,5.580933570861816,6.508342742919922,8.058003544807434,9.779788970947266,9.779788970947266,11.501574397087097,13.05123519897461,13.978644371032715,14.783034324645996
2021-01-17,5.5886077880859375,6.392997741699219,7.320406913757324,8.870067715644836,10.591853141784668,10.591853141784668,12.3136385679245,13.863299369812012,14.790708541870117,15.595098495483398
2021-01-24,3.516572952270508,4.320962905883789,5.2483720779418945,6.798032879829407,8.519818305969238,8.519818305969238,10.24160373210907,11.791264533996582,12.718673706054688,13.523063659667969
2021-01-31,5.1345415115356445,5.938931465148926,6.866340637207031,8.416001439094543,10.137786865234375,10.137786865234375,11.859572291374207,13.409233093261719,14.336642265319824,15.141032218933105
2021-02-07,6.558640480041504,7.363030433654785,8.29043960571289,9.840100407600403,11.561885833740234,11.561885833740234,13.283671259880066,14.833332061767578,15.760741233825684,16.565131187438965
2021-02-14,5.059922218322754,5.864312171936035,6.791721343994141,8.341382145881653,10.063167572021484,10.063167572021484,11.784952998161316,13.334613800048828,14.262022972106934,15.066412925720215
2021-02-21,3.71820068359375,4.522590637207031,5.449999809265137,6.999660611152649,8.72144603729248,8.72144603729248,10.443231463432312,11.992892265319824,12.92030143737793,13.724691390991211
2021-02-28,5.696351051330566,6.500741004943848,7.428150177001953,8.977810978889465,10.699596405029297,10.699596405029297,12.421381831169128,13.97104263305664,14.898451805114746,15.702841758728027
2021-03-07,6.265133857727051,7.069523811340332,7.9969329833984375,9.54659378528595,11.268379211425781,11.268379211425781,12.990164637565613,14.539825439453125,15.46723461151123,16.27162456512451
2021-03-14,5.029601097106934,5.833991050720215,6.76140022277832,8.311061024665833,10.032846450805664,10.032846450805664,11.754631876945496,13.304292678833008,14.231701850891113,15.036091804504395
2021-03-21,6.9014434814453125,7.705833435058594,8.6332426071167,10.182903409004211,11.904688835144043,11.904688835144043,13.626474261283875,15.176135063171387,16.103544235229492,16.907934188842773
2021-03-28,7.102814674377441,7.907204627990723,8.834613800048828,10.38427460193634,12.106060028076172,12.106060028076172,13.827845454216003,15.377506256103516,16.30491542816162,17.109305381774902
2021-04-04,6.234370231628418,7.038760185241699,7.966169357299805,9.515830159187317,11.237615585327148,11.237615585327148,12.95940101146698,14.509061813354492,15.436470985412598,16.24086093902588
2021-04-11,8.788622856140137,9.593012809753418,10.520421981811523,12.070082783699036,13.791868209838867,13.791868209838867,15.513653635978699,17.06331443786621,17.990723609924316,18.795113563537598
2021-04-18,7.752429008483887,8.556818962097168,9.484228134155273,11.033888936042786,12.755674362182617,12.755674362182617,14.477459788322449,16.02712059020996,16.954529762268066,17.758919715881348
2021-04-25,7.102190971374512,7.906580924987793,8.833990097045898,10.38365089893341,12.105436325073242,12.105436325073242,13.827221751213074,15.376882553100586,16.30429172515869,17.108681678771973
2021-05-02,7.250077247619629,8.05446720123291,8.981876373291016,10.531537175178528,12.25332260131836,12.25332260131836,13.975108027458191,15.524768829345703,16.45217800140381,17.25656795501709
2021-05-09,6.990156173706055,7.794546127319336,8.721955299377441,10.271616101264954,11.993401527404785,11.993401527404785,13.715186953544617,15.264847755432129,16.192256927490234,16.996646881103516
2021-05-16,8.371354103088379,9.17574405670166,10.103153228759766,11.652814030647278,13.37459945678711,13.37459945678711,15.096384882926941,16.646045684814453,17.57345485687256,18.37784481048584
